"","V1"
"658",12
"659",12
"660",12
"661",12
"662",12
"663",12
"664",17
"665",10
"666",17
"667",9
"668",2
"669",24
"670",2
"671",10
"672",2
"673",1
"674",6
"675",1
"676",24
"677",6
"678",1
"679",9
"680",6
"681",15
"682",6
"683",24
"684",2
"685",2
"686",6
"687",24
"688",1
"689",2
"690",6
"691",2
"692",10
"693",9
"694",10
"695",10
"696",10
"697",16
"698",23
"699",2
"700",10
"701",1
"702",1
"703",6
"704",11
"705",24
"706",24
"707",6
"708",2
"709",14
"710",14
"711",16
"712",1
"713",10
"714",1
"715",2
"716",26
"717",12
"718",2
"719",12
"720",14
"721",1
"722",2
"723",2
"724",24
"725",8
"726",6
"727",6
"728",10
"729",2
"730",24
"731",24
"732",6
"733",10
"734",15
"735",10
"736",2
"737",14
"738",2
"739",2
"740",23
"741",16
"742",9
"743",2
"744",2
"745",24
"746",2
"747",2
"748",10
"749",28
"750",16
"751",1
"752",15
"753",2
"754",2
"755",24
"756",24
"757",14
"758",2
"759",23
"760",2
"761",10
"762",12
"763",15
"764",2
"765",6
"766",16
"767",2
"768",12
"769",2
"770",14
"771",6
"772",2
"773",6
"774",2
"775",2
"776",24
"777",2
"778",19
"779",2
"780",20
"781",11
"782",11
"783",19
"784",19
"785",19
"786",14
"787",11
"788",24
"789",20
"790",2
"791",19
"792",11
"793",26
"794",11
"795",11
"796",29
"797",14
"798",14
"799",14
"800",17
"801",14
"802",25
"803",25
"804",23
"805",14
"806",25
"807",25
"808",14
"809",14
"810",17
"811",25
"812",14
"813",14
"814",23
"815",20
"816",25
"817",14
"818",25
"819",14
"820",14
"821",14
"822",23
"823",17
"824",14
"825",23
"826",29
"827",11
"828",10
"829",11
"830",11
"831",11
"832",11
"833",11
"834",11
"835",14
"836",11
"837",11
"838",6
"839",10
"840",11
"841",28
"842",11
"843",11
"844",11
"845",11
"846",26
"847",11
"848",11
"849",11
"850",11
"851",11
"852",11
"853",14
"854",11
"855",11
"856",11
"857",11
"858",11
"859",19
"860",11
"861",11
"862",11
"863",11
"864",11
"865",11
"866",11
"867",11
"868",11
"869",11
"870",11
"871",11
"872",11
"873",11
"874",11
"875",11
"876",21
"877",11
"878",11
"879",11
"880",23
"881",28
"882",3
"883",23
"884",25
"885",4
"886",25
"887",21
"888",21
"889",3
"890",21
"891",21
"892",22
"893",23
"894",29
"895",29
"896",19
"897",5
"898",5
"899",14
"900",14
"901",21
"902",14
"903",17
"904",14
"905",21
"906",21
"907",21
"908",21
"909",17
"910",28
"911",17
"912",20
"913",20
"914",10
"915",16
"916",16
"917",16
"918",19
"919",16
"920",10
"921",16
"922",16
"923",19
"924",19
"925",17
"926",16
"927",16
"928",16
"929",16
"930",25
"931",16
"932",29
"933",28
"934",26
"935",16
"936",19
"937",19
"938",19
"939",20
"940",28
"941",28
"942",25
"943",14
"944",22
"945",19
"946",23
"947",20
"948",25
"949",19
"950",19
"951",23
"952",19
"953",28
"954",19
"955",19
"956",28
"957",18
"958",19
"959",25
"960",28
"961",19
"962",29
"963",25
"964",28
"965",25
"966",2
"967",1
"968",1
"969",19
"970",28
"971",2
"972",23
"973",19
"974",19
"975",19
"976",27
"977",29
"978",29
"979",19
"980",1
"981",20
"982",15
"983",20
"984",23
"985",15
"986",19
"987",1
"988",19
"989",19
"990",19
"991",3
"992",23
"993",29
"994",19
"995",1
"996",29
"997",26
"998",19
"999",19
"1000",19
"1001",23
"1002",2
"1003",19
"1004",3
"1005",2
"1006",12
"1007",28
"1008",5
"1009",29
"1010",29
"1011",14
"1012",20
"1013",26
"1014",20
"1015",22
"1016",14
"1017",23
"1018",2
"1019",19
"1020",22
"1021",19
"1022",14
"1023",19
"1024",7
"1025",29
"1026",19
"1027",28
"1028",14
"1029",16
"1030",26
"1031",29
"1032",26
"1033",28
"1034",20
"1035",29
"1036",16
"1037",20
"1038",21
"1039",29
"1040",2
"1041",22
"1042",14
"1043",19
"1044",10
"1045",2
"1046",22
"1047",22
"1048",28
"1049",28
"1050",28
"1051",23
"1052",14
"1053",28
"1054",23
"1055",17
"1056",28
"1057",19
"1058",28
"1059",19
"1060",28
"1061",28
"1062",19
"1063",17
"1064",14
"1065",17
"1066",25
"1067",28
"1068",28
"1069",17
"1070",28
"1071",28
"1072",14
"1073",20
"1074",19
"1075",28
"1076",17
"1077",28
"1078",28
"1079",17
"1080",28
"1081",17
"1082",28
"1083",17
"1084",19
"1085",17
"1086",28
"1087",28
"1088",28
"1089",17
"1090",28
"1091",28
"1092",17
"1093",17
"1094",28
"1095",28
"1096",17
"1097",28
"1098",28
"1099",17
"1100",15
"1101",28
"1102",19
"1103",28
"1104",23
"1105",28
"1106",28
"1107",29
"1108",28
"1109",28
"1110",17
"1111",28
"1112",19
"1113",19
"1114",2
"1115",19
"1116",28
"1117",5
"1118",29
"1119",19
"1120",19
"1121",28
"1122",29
"1123",14
"1124",19
"1125",19
"1126",21
"1127",14
"1128",4
"1129",19
"1130",5
"1131",27
"1132",11
"1133",27
"1134",10
"1135",19
"1136",27
"1137",19
"1138",19
"1139",19
"1140",27
"1141",19
"1142",19
"1143",21
"1144",6
"1145",6
"1146",6
"1147",10
"1148",16
"1149",1
"1150",2
"1151",1
"1152",6
"1153",2
"1154",17
"1155",22
"1156",1
"1157",4
"1158",16
"1159",10
"1160",10
"1161",6
"1162",25
"1163",19
"1164",19
"1165",26
"1166",7
"1167",10
"1168",20
"1169",14
"1170",10
"1171",26
"1172",10
"1173",10
"1174",14
"1175",28
"1176",17
"1177",10
"1178",23
"1179",29
"1180",15
"1181",21
"1182",21
"1183",29
"1184",22
"1185",28
"1186",20
"1187",20
"1188",19
"1189",3
"1190",3
"1191",19
"1192",29
"1193",23
"1194",20
"1195",19
"1196",19
"1197",3
"1198",21
"1199",19
"1200",19
"1201",19
"1202",12
"1203",20
"1204",22
"1205",14
"1206",19
"1207",19
"1208",14
"1209",14
"1210",14
"1211",25
"1212",14
"1213",6
"1214",23
"1215",14
"1216",14
"1217",23
"1218",14
"1219",14
"1220",19
"1221",29
"1222",14
"1223",14
"1224",14
"1225",14
"1226",14
"1227",6
"1228",14
"1229",14
"1230",17
"1231",14
"1232",14
"1233",14
"1234",23
"1235",26
"1236",26
"1237",23
"1238",10
"1239",13
"1240",14
"1241",14
"1242",28
"1243",22
"1244",25
"1245",25
"1246",28
"1247",19
"1248",17
"1249",28
"1250",25
"1251",19
"1252",25
"1253",14
"1254",28
"1255",25
"1256",28
"1257",22
"1258",27
"1259",28
"1260",17
"1261",29
"1262",21
"1263",19
"1264",28
"1265",29
"1266",25
"1267",25
"1268",28
"1269",28
"1270",25
"1271",29
"1272",25
"1273",28
"1274",28
"1275",19
"1276",22
"1277",28
"1278",28
"1279",22
"1280",28
"1281",28
"1282",29
"1283",29
"1284",23
"1285",28
"1286",3
"1287",3
"1288",25
"1289",29
"1290",3
"1291",3
"1292",25
"1293",29
"1294",28
"1295",3
"1296",23
"1297",28
"1298",29
"1299",28
"1300",29
"1301",28
"1302",29
"1303",3
"1304",3
"1305",29
"1306",28
"1307",3
"1308",3
"1309",29
"1310",3
"1311",3
"1312",3
"1313",3
"1314",3
"1315",28
"1316",28
"1317",19
"1318",23
"1319",28
"1320",25
"1321",28
"1322",7
"1323",29
"1324",2
"1325",28
"1326",28
"1327",19
"1328",28
"1329",28
"1330",2
"1331",28
"1332",28
"1333",26
"1334",2
"1335",28
"1336",29
"1337",19
"1338",19
"1339",28
"1340",14
"1341",7
"1342",15
"1343",19
"1344",13
"1345",3
"1346",3
"1347",17
"1348",10
"1349",20
"1350",21
"1351",20
"1352",20
"1353",18
"1354",18
"1355",23
"1356",20
"1357",22
"1358",22
"1359",10
"1360",6
"1361",23
"1362",6
"1363",14
"1364",19
"1365",6
"1366",6
"1367",19
"1368",6
"1369",14
"1370",14
"1371",6
"1372",24
"1373",6
"1374",4
"1375",23
"1376",6
"1377",14
"1378",14
"1379",7
"1380",6
"1381",6
"1382",14
"1383",6
"1384",23
"1385",29
"1386",14
"1387",23
"1388",7
"1389",26
"1390",6
"1391",6
"1392",10
"1393",29
"1394",29
"1395",29
"1396",14
"1397",3
"1398",3
"1399",29
"1400",3
"1401",19
"1402",29
"1403",13
"1404",3
"1405",19
"1406",18
"1407",23
"1408",18
"1409",29
"1410",25
"1411",18
"1412",3
"1413",29
"1414",19
"1415",29
"1416",29
"1417",20
"1418",19
"1419",29
"1420",19
"1421",22
"1422",19
"1423",19
"1424",19
"1425",23
"1426",23
"1427",23
"1428",23
"1429",19
"1430",28
"1431",26
"1432",19
"1433",28
"1434",19
"1435",14
"1436",19
"1437",23
"1438",3
"1439",23
"1440",20
"1441",23
"1442",29
"1443",23
"1444",28
"1445",19
"1446",23
"1447",23
"1448",23
"1449",2
"1450",19
"1451",25
"1452",25
"1453",23
"1454",23
"1455",23
"1456",19
"1457",2
"1458",23
"1459",19
"1460",20
"1461",23
"1462",2
"1463",19
"1464",23
"1465",2
"1466",23
"1467",19
"1468",3
"1469",20
"1470",28
"1471",20
"1472",19
"1473",2
"1474",14
"1475",23
"1476",20
"1477",20
"1478",20
"1479",3
"1480",23
"1481",26
"1482",28
"1483",20
"1484",2
"1485",23
"1486",23
"1487",19
"1488",19
"1489",23
"1490",20
"1491",28
"1492",20
"1493",20
"1494",19
"1495",28
"1496",20
"1497",19
"1498",23
"1499",2
"1500",20
"1501",19
"1502",3
"1503",19
"1504",20
"1505",20
"1506",28
"1507",19
"1508",19
"1509",23
"1510",23
"1511",19
"1512",23
"1513",28
"1514",20
"1515",2
"1516",19
"1517",23
"1518",20
"1519",20
"1520",20
"1521",3
"1522",19
"1523",23
"1524",19
"1525",12
"1526",10
"1527",26
"1528",10
"1529",1
"1530",1
"1531",1
"1532",1
"1533",1
"1534",10
"1535",1
"1536",1
"1537",1
"1538",1
"1539",1
"1540",1
"1541",1
"1542",1
"1543",1
"1544",1
"1545",1
"1546",1
"1547",1
"1548",1
"1549",1
"1550",1
"1551",26
"1552",26
"1553",1
"1554",1
"1555",1
"1556",1
"1557",1
"1558",1
"1559",1
"1560",26
"1561",26
"1562",1
"1563",1
"1564",1
"1565",26
"1566",1
"1567",1
"1568",1
"1569",1
"1570",1
"1571",1
"1572",1
"1573",1
"1574",1
"1575",1
"1576",4
"1577",1
"1578",1
"1579",1
"1580",1
"1581",1
"1582",17
"1583",17
"1584",1
"1585",1
"1586",1
"1587",17
"1588",1
"1589",1
"1590",24
"1591",1
"1592",1
"1593",1
"1594",1
"1595",1
"1596",26
"1597",1
"1598",1
"1599",1
"1600",26
"1601",1
"1602",20
"1603",1
"1604",26
"1605",1
"1606",17
"1607",26
"1608",1
"1609",1
"1610",15
"1611",26
"1612",1
"1613",1
"1614",1
"1615",1
"1616",10
"1617",1
"1618",1
"1619",1
"1620",1
"1621",1
"1622",1
"1623",1
"1624",1
"1625",26
"1626",26
"1627",26
"1628",1
"1629",1
"1630",1
"1631",26
"1632",1
"1633",1
"1634",10
"1635",14
"1636",15
"1637",10
"1638",2
"1639",10
"1640",21
"1641",10
"1642",10
"1643",10
"1644",10
"1645",10
"1646",10
"1647",28
"1648",28
"1649",10
"1650",28
"1651",28
"1652",28
"1653",12
"1654",28
"1655",23
"1656",14
"1657",2
"1658",28
"1659",14
"1660",10
"1661",28
"1662",28
"1663",28
"1664",28
"1665",17
"1666",28
"1667",28
"1668",28
"1669",28
"1670",23
"1671",28
"1672",10
"1673",28
"1674",14
"1675",17
"1676",6
"1677",22
"1678",6
"1679",24
"1680",6
"1681",28
"1682",24
"1683",6
"1684",6
"1685",6
"1686",6
"1687",14
"1688",6
"1689",10
"1690",6
"1691",24
"1692",6
"1693",6
"1694",6
"1695",24
"1696",6
"1697",24
"1698",6
"1699",24
"1700",24
"1701",14
"1702",24
"1703",6
"1704",24
"1705",24
"1706",6
"1707",6
"1708",28
"1709",6
"1710",3
"1711",6
"1712",2
"1713",6
"1714",6
"1715",6
"1716",26
"1717",6
"1718",22
"1719",28
"1720",6
"1721",23
"1722",24
"1723",24
"1724",6
"1725",6
"1726",2
"1727",6
"1728",24
"1729",6
"1730",6
"1731",24
"1732",6
"1733",6
"1734",6
"1735",24
"1736",6
"1737",31
"1738",23
"1739",6
"1740",6
"1741",3
"1742",26
"1743",10
"1744",20
"1745",19
"1746",23
"1747",14
"1748",23
"1749",17
"1750",21
"1751",28
"1752",23
"1753",20
"1754",29
"1755",14
"1756",14
"1757",6
"1758",23
"1759",29
"1760",5
"1761",21
"1762",2
"1763",2
"1764",28
"1765",2
"1766",23
"1767",2
"1768",28
"1769",2
"1770",23
"1771",2
"1772",23
"1773",2
"1774",2
"1775",23
"1776",2
"1777",28
"1778",2
"1779",10
"1780",2
"1781",17
"1782",23
"1783",2
"1784",14
"1785",2
"1786",14
"1787",2
"1788",2
"1789",2
"1790",23
"1791",2
"1792",2
"1793",2
"1794",14
"1795",28
"1796",2
"1797",2
"1798",2
"1799",2
"1800",14
"1801",2
"1802",2
"1803",2
"1804",2
"1805",14
"1806",2
"1807",2
"1808",2
"1809",2
"1810",20
"1811",28
"1812",2
"1813",2
"1814",2
"1815",2
"1816",19
"1817",2
"1818",2
"1819",2
"1820",2
"1821",23
"1822",2
"1823",2
"1824",2
"1825",2
"1826",2
"1827",2
"1828",2
"1829",23
"1830",28
"1831",28
"1832",2
"1833",2
"1834",2
"1835",2
"1836",2
"1837",28
"1838",10
"1839",16
"1840",19
"1841",16
"1842",28
"1843",28
"1844",14
"1845",17
"1846",29
"1847",27
"1848",6
"1849",14
"1850",23
"1851",14
"1852",14
"1853",14
"1854",27
"1855",14
"1856",2
"1857",28
"1858",10
"1859",12
"1860",14
"1861",26
"1862",31
"1863",14
"1864",23
"1865",14
"1866",17
"1867",14
"1868",14
"1869",14
"1870",14
"1871",17
"1872",14
"1873",17
"1874",14
"1875",17
"1876",14
"1877",14
"1878",14
"1879",14
"1880",14
"1881",14
"1882",14
"1883",17
"1884",14
"1885",14
"1886",14
"1887",14
"1888",14
"1889",14
"1890",17
"1891",17
"1892",15
"1893",14
"1894",14
"1895",14
"1896",14
"1897",14
"1898",14
"1899",14
"1900",14
"1901",14
"1902",14
"1903",14
"1904",14
"1905",14
"1906",14
"1907",19
"1908",14
"1909",14
"1910",14
"1911",14
"1912",14
"1913",14
"1914",14
"1915",14
"1916",14
"1917",14
"1918",14
"1919",14
"1920",14
"1921",14
"1922",14
"1923",14
"1924",14
"1925",14
"1926",14
"1927",14
"1928",14
"1929",14
"1930",14
"1931",14
"1932",14
"1933",14
"1934",14
"1935",14
"1936",14
"1937",14
"1938",14
"1939",14
"1940",14
"1941",17
"1942",14
"1943",14
"1944",14
"1945",14
"1946",14
"1947",17
"1948",14
"1949",14
"1950",14
"1951",14
"1952",19
"1953",14
"1954",14
"1955",14
"1956",17
"1957",17
"1958",17
"1959",14
"1960",14
"1961",14
"1962",14
"1963",14
"1964",14
"1965",14
"1966",14
"1967",14
"1968",14
"1969",14
"1970",14
"1971",14
"1972",14
"1973",17
"1974",14
"1975",14
"1976",14
"1977",14
"1978",14
"1979",14
"1980",15
"1981",14
"1982",14
"1983",14
"1984",14
"1985",14
"1986",14
"1987",17
"1988",17
"1989",14
"1990",14
"1991",14
"1992",14
"1993",14
"1994",14
"1995",14
"1996",28
"1997",14
"1998",14
"1999",14
"2000",2
"2001",28
"2002",14
"2003",14
"2004",14
"2005",14
"2006",14
"2007",14
"2008",14
"2009",14
"2010",28
"2011",14
"2012",28
"2013",28
"2014",14
"2015",28
"2016",14
"2017",14
"2018",14
"2019",28
"2020",14
"2021",28
"2022",14
"2023",14
"2024",14
"2025",14
"2026",14
"2027",14
"2028",28
"2029",14
"2030",14
"2031",14
"2032",14
"2033",28
"2034",14
"2035",14
"2036",14
"2037",14
"2038",14
"2039",14
"2040",14
"2041",28
"2042",14
"2043",14
"2044",14
"2045",14
"2046",14
"2047",14
"2048",14
"2049",14
"2050",14
"2051",14
"2052",14
"2053",17
"2054",19
"2055",14
"2056",14
"2057",28
"2058",14
"2059",17
"2060",14
"2061",14
"2062",14
"2063",17
"2064",28
"2065",14
"2066",14
"2067",14
"2068",14
"2069",14
"2070",14
"2071",17
"2072",17
"2073",14
"2074",28
"2075",28
"2076",28
"2077",14
"2078",28
"2079",14
"2080",14
"2081",14
"2082",14
"2083",17
"2084",17
"2085",14
"2086",14
"2087",14
"2088",3
"2089",3
"2090",3
"2091",3
"2092",3
"2093",3
"2094",3
"2095",25
"2096",3
"2097",29
"2098",3
"2099",3
"2100",3
"2101",3
"2102",3
"2103",3
"2104",3
"2105",3
"2106",25
"2107",3
"2108",3
"2109",3
"2110",3
"2111",19
"2112",3
"2113",3
"2114",29
"2115",3
"2116",3
"2117",3
"2118",3
"2119",3
"2120",29
"2121",29
"2122",3
"2123",3
"2124",19
"2125",23
"2126",29
"2127",3
"2128",3
"2129",3
"2130",3
"2131",3
"2132",29
"2133",3
"2134",3
"2135",3
"2136",3
"2137",3
"2138",3
"2139",17
"2140",3
"2141",3
"2142",3
"2143",3
"2144",3
"2145",3
"2146",3
"2147",3
"2148",3
"2149",23
"2150",3
"2151",23
"2152",3
"2153",29
"2154",23
"2155",19
"2156",3
"2157",29
"2158",23
"2159",3
"2160",20
"2161",29
"2162",3
"2163",3
"2164",3
"2165",3
"2166",17
"2167",3
"2168",3
"2169",3
"2170",3
"2171",3
"2172",3
"2173",23
"2174",3
"2175",29
"2176",23
"2177",19
"2178",3
"2179",3
"2180",3
"2181",3
"2182",23
"2183",3
"2184",3
"2185",29
"2186",23
"2187",3
"2188",3
"2189",3
"2190",3
"2191",3
"2192",3
"2193",3
"2194",23
"2195",3
"2196",23
"2197",3
"2198",3
"2199",3
"2200",23
"2201",3
"2202",19
"2203",3
"2204",3
"2205",3
"2206",19
"2207",18
"2208",18
"2209",23
"2210",18
"2211",18
"2212",29
"2213",18
"2214",18
"2215",18
"2216",18
"2217",18
"2218",18
"2219",18
"2220",18
"2221",18
"2222",29
"2223",18
"2224",18
"2225",23
"2226",29
"2227",29
"2228",18
"2229",18
"2230",18
"2231",29
"2232",18
"2233",18
"2234",18
"2235",18
"2236",18
"2237",23
"2238",18
"2239",23
"2240",18
"2241",18
"2242",23
"2243",29
"2244",18
"2245",29
"2246",18
"2247",29
"2248",29
"2249",18
"2250",29
"2251",29
"2252",18
"2253",18
"2254",18
"2255",29
"2256",18
"2257",18
"2258",18
"2259",18
"2260",29
"2261",18
"2262",18
"2263",18
"2264",18
"2265",29
"2266",18
"2267",18
"2268",18
"2269",18
"2270",18
"2271",29
"2272",29
"2273",18
"2274",29
"2275",29
"2276",18
"2277",29
"2278",18
"2279",18
"2280",29
"2281",18
"2282",29
"2283",18
"2284",23
"2285",18
"2286",18
"2287",18
"2288",29
"2289",18
"2290",29
"2291",18
"2292",29
"2293",18
"2294",18
"2295",18
"2296",18
"2297",18
"2298",18
"2299",29
"2300",18
"2301",18
"2302",18
"2303",18
"2304",18
"2305",18
"2306",18
"2307",2
"2308",2
"2309",2
"2310",2
"2311",2
"2312",17
"2313",2
"2314",2
"2315",10
"2316",2
"2317",2
"2318",10
"2319",20
"2320",2
"2321",2
"2322",2
"2323",19
"2324",2
"2325",2
"2326",10
"2327",20
"2328",2
"2329",2
"2330",19
"2331",2
"2332",20
"2333",2
"2334",2
"2335",2
"2336",19
"2337",2
"2338",2
"2339",2
"2340",2
"2341",2
"2342",19
"2343",2
"2344",17
"2345",2
"2346",6
"2347",19
"2348",17
"2349",2
"2350",2
"2351",2
"2352",2
"2353",19
"2354",19
"2355",2
"2356",2
"2357",2
"2358",2
"2359",10
"2360",19
"2361",2
"2362",2
"2363",2
"2364",2
"2365",2
"2366",2
"2367",2
"2368",2
"2369",2
"2370",2
"2371",2
"2372",3
"2373",2
"2374",2
"2375",2
"2376",2
"2377",2
"2378",2
"2379",2
"2380",2
"2381",2
"2382",10
"2383",2
"2384",19
"2385",19
"2386",2
"2387",2
"2388",19
"2389",2
"2390",19
"2391",19
"2392",2
"2393",2
"2394",28
"2395",2
"2396",2
"2397",2
"2398",19
"2399",2
"2400",10
"2401",26
"2402",10
"2403",10
"2404",10
"2405",10
"2406",22
"2407",28
"2408",17
"2409",28
"2410",28
"2411",14
"2412",2
"2413",28
"2414",28
"2415",23
"2416",28
"2417",2
"2418",23
"2419",28
"2420",28
"2421",28
"2422",28
"2423",17
"2424",28
"2425",14
"2426",28
"2427",14
"2428",2
"2429",23
"2430",2
"2431",28
"2432",17
"2433",28
"2434",2
"2435",17
"2436",2
"2437",28
"2438",28
"2439",17
"2440",2
"2441",14
"2442",28
"2443",2
"2444",28
"2445",28
"2446",28
"2447",28
"2448",28
"2449",28
"2450",23
"2451",28
"2452",28
"2453",20
"2454",28
"2455",17
"2456",28
"2457",23
"2458",28
"2459",28
"2460",14
"2461",28
"2462",17
"2463",14
"2464",28
"2465",28
"2466",14
"2467",28
"2468",28
"2469",14
"2470",2
"2471",28
"2472",2
"2473",28
"2474",28
"2475",17
"2476",6
"2477",28
"2478",28
"2479",23
"2480",14
"2481",14
"2482",2
"2483",28
"2484",28
"2485",17
"2486",28
"2487",14
"2488",23
"2489",16
"2490",28
"2491",19
"2492",14
"2493",14
"2494",3
"2495",25
"2496",28
"2497",19
